leadtime,shortage,setup,lostsales,CV,horizon,ADI,policy,mu_dist_bounds,avg_cost,MC_std,train_time_s,forecast_id,agent_id
2,25.0,320,false,0.3,32,false,sSPolicy,"(0.0, 20.0)",-9293.604800751986,285.5451733099839,2974.325584932,8,12
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6464.049798569782,122.97542238458891,3169.395372961,1,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8413.958223395031,153.16455927005484,3169.395372961,2,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-10361.424030665545,201.1064379311995,3169.395372961,3,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8396.724949495645,154.50839202451445,3169.395372961,4,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8346.242407011174,170.13692673967722,3169.395372961,5,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8294.319193456646,184.04079199420573,3169.395372961,6,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8018.923847993222,149.82804523331848,3169.395372961,7,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8821.643178458899,187.81391480330117,3169.395372961,8,4
0,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6602.0400025132685,172.54878039429704,3553.551819547,1,20
0,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8616.635049326176,210.39025569968808,3553.551819547,2,20
0,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-10600.662285247749,256.3701984035733,3553.551819547,3,20
0,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8586.278175557653,209.819974099593,3553.551819547,4,20
0,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8533.988858454702,204.28368243915904,3553.551819547,5,20
0,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8486.885939131096,199.66768062605036,3553.551819547,6,20
0,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8172.309680629062,156.01124957011265,3553.551819547,7,20
0,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9048.70760970773,198.95531108428136,3553.551819547,8,20
2,10.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6045.000637652909,145.88692915178956,3328.253819993,1,5
2,10.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8158.408832213909,122.01877830918453,3328.253819993,2,5
2,10.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-10247.661718388068,153.63253118320276,3328.253819993,3,5
