leadtime,shortage,setup,lostsales,CV,horizon,ADI,policy,mu_dist_bounds,avg_cost,MC_std,train_time_s,forecast_id,agent_id,stockoutrate
8,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3379.9991979484557,187.46698343260417,1174.846516215,6,78,0.07451445134071262
8,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3348.263804256439,184.55356897291873,1174.846516215,7,78,0.05047147751203988
8,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3609.490567443848,219.80503531118015,1174.846516215,8,78,0.07026230375672851
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1500.2392766904832,44.09589600225843,1093.23663278,1,91,0.057347148239235264
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1800.5348751678466,70.34765745619548,1093.23663278,2,91,0.03138844031632344
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2064.165713920593,97.5819280626921,1093.23663278,3,91,0.02454080649360885
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1760.615463727951,77.46265005761886,1093.23663278,4,91,0.04341225719564147
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1722.0478730897903,82.95682059865945,1093.23663278,5,91,0.060785447356915864
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1735.0735848827362,74.10679292373422,1093.23663278,6,91,0.049448741610453144
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1707.875202837944,64.71726608656853,1093.23663278,7,91,0.037089002504670676
2,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1911.9490221157073,83.46580445952013,1093.23663278,8,91,0.032938822571752006
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1829.975272546768,84.99272026157882,1155.485294601,1,100,0.053026386503680786
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2412.780472061157,106.4808204064776,1155.485294601,2,100,0.0276708390651285
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3014.568134807587,132.92604853756853,1155.485294601,3,100,0.021966321489313698
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2390.961276073456,105.87746579192913,1155.485294601,4,100,0.028618448734928296
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2397.1892715969084,114.0015034609115,1155.485294601,5,100,0.03389062031847801
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2392.615722454071,110.13883863463865,1155.485294601,6,100,0.032026340319799014
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2270.378142332077,98.52473543487129,1155.485294601,7,100,0.03072730396818583
2,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2606.732411474228,113.20272297860902,1155.485294601,8,100,0.03126151007214031
4,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1350.8103476905824,72.68118328998452,1087.200075916,1,92,0.08131149359323181
4,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1727.7983379440307,95.6973039970473,1087.200075916,2,92,0.07187680269689274
4,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2197.667024963379,119.41359817593009,1087.200075916,3,92,0.0731224696391594
4,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1732.6838907833098,98.6116292767143,1087.200075916,4,92,0.07547313738459863
4,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1756.45854445076,96.7149450112761,1087.200075916,5,92,0.08379421279989901
4,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1746.748644235611,94.91813574920178,1087.200075916,6,92,0.07884297456110567
4,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1677.3500197982787,88.72813996092847,1087.200075916,7,92,0.07953941599145471
4,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1899.7459890022278,116.8856724852309,1087.200075916,8,92,0.07483167287838542
4,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2011.7792790794372,89.26107335405204,1152.824835596,1,101,0.04792400211526658
4,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2599.2740271263124,136.19994160663776,1152.824835596,2,101,0.02981764298835499
4,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3282.4270030899047,179.55738466384497,1152.824835596,3,101,0.02974125636297437
4,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2587.8217318019865,137.21858402790727,1152.824835596,4,101,0.034279969785661814
