leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,opt_cost,opt_MC_std,solve_time_s,opt_shortrate
4,5.0,30,true,0.2,32,6,2758.926,96.91602158177582,0.0,0.060672253065401645
4,5.0,30,true,0.2,32,7,2618.254,80.43061959582661,0.0,0.05609464323986231
4,5.0,30,true,0.2,32,8,2990.529,101.87514763034558,0.0,0.06697784508230958
8,5.0,30,true,0.2,32,1,2460.845,102.38486037805899,0.0,0.05670926825135834
8,5.0,30,true,0.2,32,2,3107.028,137.82725989284404,0.0,0.044682720668822756
8,5.0,30,true,0.2,32,3,4064.388,176.80382645477175,0.0,0.061158624417719146
8,5.0,30,true,0.2,32,4,3120.849,134.5739065916396,0.0,0.050752125572269456
8,5.0,30,true,0.2,32,5,3185.433,144.86031209762396,0.0,0.05892379052608811
8,5.0,30,true,0.2,32,6,3304.861,172.08775050209957,0.0,0.06603197945800074
8,5.0,30,true,0.2,32,7,3123.989,128.95838531923445,0.0,0.04566039670824455
8,5.0,30,true,0.2,32,8,3489.14,158.3388126126364,0.0,0.07028306908286716
2,10.0,30,true,0.2,32,1,2006.448,75.64324951505718,0.0,0.04329971500432016
2,10.0,30,true,0.2,32,2,2855.904,115.34807307433428,0.0,0.032835677365067914
2,10.0,30,true,0.2,32,3,3531.766,137.6435795778321,0.0,0.026853274201531784
2,10.0,30,true,0.2,32,4,2800.528,113.93283067626251,0.0,0.030913204936658386
2,10.0,30,true,0.2,32,5,2805.728,115.72717396875633,0.0,0.03046757338472813
2,10.0,30,true,0.2,32,6,2820.311,112.33049639087074,0.0,0.03218043494139401
2,10.0,30,true,0.2,32,7,2672.811,104.83646294568966,0.0,0.034695045249659315
2,10.0,30,true,0.2,32,8,3060.29,125.53346386741086,0.0,0.037385930277391115
4,10.0,30,true,0.2,32,1,2200.978,86.80329675956051,0.0,0.03646244868854671
4,10.0,30,true,0.2,32,2,3051.62,129.52988686628115,0.0,0.029672971536286886
4,10.0,30,true,0.2,32,3,3858.947,167.58596972374585,0.0,0.03281837690656944
4,10.0,30,true,0.2,32,4,3019.916,129.91435133457225,0.0,0.03063015580051302
4,10.0,30,true,0.2,32,5,3033.472,134.3351523211596,0.0,0.03283868137281313
4,10.0,30,true,0.2,32,6,3076.437,138.23690343924983,0.0,0.03554024622717207
4,10.0,30,true,0.2,32,7,2884.529,120.62779208467352,0.0,0.03045175391239763
4,10.0,30,true,0.2,32,8,3365.717,148.49479996490322,0.0,0.04213888582688015
8,10.0,30,true,0.2,32,1,2681.142,121.5740683291058,0.0,0.03349703172624661
8,10.0,30,true,0.2,32,2,3461.186,170.25495632772092,0.0,0.02560891025770523
8,10.0,30,true,0.2,32,3,4614.726,218.48507191716934,0.0,0.044588010268606405
8,10.0,30,true,0.2,32,4,3495.28,179.32118583058636,0.0,0.03273765753399639
8,10.0,30,true,0.2,32,5,3614.962,189.75586379304292,0.0,0.03975703765281362
8,10.0,30,true,0.2,32,6,3794.378,226.98345888325565,0.0,0.04846556490257448
8,10.0,30,true,0.2,32,7,3420.754,159.1542068107078,0.0,0.025361643091561716
8,10.0,30,true,0.2,32,8,4018.539,204.9126342289969,0.0,0.05296341158336607
