leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,simple_cost,simple_MC_std,simple_solve_time_s
2,75.0,320,true,0.2,8,5,9253.085910339496,215.64395759927825,0.000928481482
2,75.0,320,true,0.2,8,6,9362.838353467292,244.0481086294413,0.000925595556
2,75.0,320,true,0.2,8,7,8666.632833320433,96.44028372033519,0.000930884022
2,75.0,320,true,0.2,8,8,10424.091204811617,335.10237666358904,0.000955585029
2,25.0,320,false,0.2,8,1,6295.52540693173,64.06627460953872,0.0009395412899999999
2,25.0,320,false,0.2,8,2,9132.7585085255,139.8378205583881,0.000939082384
2,25.0,320,false,0.2,8,3,11492.432843360897,172.54454449217002,0.000939121485
2,25.0,320,false,0.2,8,4,8973.195904993714,142.61473674218828,0.000938705479
2,25.0,320,false,0.2,8,5,8964.966400496787,142.8757784734528,0.000940026286
2,25.0,320,false,0.2,8,6,9003.845490104517,130.28730382531816,0.000971091052
2,25.0,320,false,0.2,8,7,8519.368880657546,93.80209218921574,0.000936104507
2,25.0,320,false,0.2,8,8,9729.635887033948,148.42269749932282,0.0009381960929999999
2,25.0,0,false,0.2,32,1,410.63170503668175,60.19329057526572,0.0008683380939999999
2,25.0,0,false,0.2,32,2,795.5423003250098,116.57583263478513,0.0008733338859999999
2,25.0,0,false,0.2,32,3,1411.0428343689955,205.56795720067996,0.000852623378
2,25.0,0,false,0.2,32,4,820.0463569043086,130.3225144880262,0.0008751908390000001
2,25.0,0,false,0.2,32,5,829.4857267946336,134.10062030463556,0.000872171992
2,25.0,0,false,0.2,32,6,869.121190646136,134.65180447965042,0.000853844333
2,25.0,0,false,0.2,32,7,699.1384550929595,100.38777871915525,0.000873505988
2,25.0,0,false,0.2,32,8,1110.7808148845716,160.49350652427407,0.0008749225349999999
2,75.0,0,true,0.2,32,1,468.16037369865955,61.86045232861291,0.000853795693
2,75.0,0,true,0.2,32,2,981.431179952779,166.4406021195804,0.000884562146
2,75.0,0,true,0.2,32,3,2084.2584845202164,379.24387279240324,0.000888302812
2,75.0,0,true,0.2,32,4,1015.508349098169,197.155787447497,0.000856080352
2,75.0,0,true,0.2,32,5,1069.6507953078758,224.17114967492515,0.000882130796
2,75.0,0,true,0.2,32,6,1166.1763767346024,243.1218755098526,0.000854419791
2,75.0,0,true,0.2,32,7,804.1439760128807,116.1674517446346,0.000883215459
