lostsales,first_var,var_discount,avg_cost,MC_std,train_time_s,forecast_id,agent_id
false,0.05,0.8,-8584.048458299412,465.97464589747847,1494.364655204,6,10
false,0.05,0.8,-8141.155038163985,410.1006043492374,1494.364655204,7,10
false,0.05,0.8,-9356.547224193293,503.37949860699257,1494.364655204,8,10
true,0.1,0.99,-7537.22204760165,3254.3795612571093,1559.178830102,1,25
true,0.1,0.99,-11772.305456102378,5557.95946989483,1559.178830102,2,25
true,0.1,0.99,-16360.90161119884,8394.346132746101,1559.178830102,3,25
true,0.1,0.99,-12081.887835840274,7591.51268601815,1559.178830102,4,25
true,0.1,0.99,-12722.642791649254,13529.255510299958,1559.178830102,5,25
true,0.1,0.99,-12652.697193505173,7919.841343865444,1559.178830102,6,25
true,0.1,0.99,-10939.923335389356,6101.3179022236245,1559.178830102,7,25
true,0.1,0.99,-13920.650913898886,11703.358365209402,1559.178830102,8,25
true,0.03,0.8,-6595.365193883964,240.27658834678155,1496.69452572,1,11
true,0.03,0.8,-9020.948219602698,413.77105084883095,1496.69452572,2,11
true,0.03,0.8,-12007.132324983484,670.5185710809346,1496.69452572,3,11
true,0.03,0.8,-9044.549602335856,464.74173140242664,1496.69452572,4,11
true,0.03,0.8,-9021.772132191436,493.3763875297,1496.69452572,5,11
true,0.03,0.8,-9037.777590668273,481.1204433396167,1496.69452572,6,11
true,0.03,0.8,-8451.343227480416,354.28296279021373,1496.69452572,7,11
true,0.03,0.8,-10111.022688388524,564.6483352082809,1496.69452572,8,11
false,0.1,0.99,-7113.693702674084,3551.173046554082,1563.280748601,1,26
false,0.1,0.99,-10931.229696015027,6888.805498342347,1563.280748601,2,26
false,0.1,0.99,-14619.759177006465,8738.281840950194,1563.280748601,3,26
false,0.1,0.99,-10996.809581520116,6469.614375505485,1563.280748601,4,26
false,0.1,0.99,-10741.61035028027,5885.252419521627,1563.280748601,5,26
false,0.1,0.99,-10640.06319195643,5226.714473435159,1563.280748601,6,26
false,0.1,0.99,-10039.066247737655,5693.748121419083,1563.280748601,7,26
false,0.1,0.99,-11547.240842002802,6076.40098222263,1563.280748601,8,26
false,0.03,0.8,-6380.0453618452075,213.22888733250605,1491.585915295,1,12
false,0.03,0.8,-8617.234189923207,284.1170488463941,1491.585915295,2,12
false,0.03,0.8,-10978.287639762999,392.6112550912567,1491.585915295,3,12
